time,asset_id,name,kpi,sum,avg,min,max
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,offline_time,0,0,0,0
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption,"0,00197261689965621","0,0000737069838986023","0,0000259187499793244","0,00197261689965621"
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,power,,"0,000172159889204113",0,"0,000692204794956539"
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption_working,"0,001537000434057","0,000133542234361619","0,0000592440368472951","0,000525513898513442"
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption_idle,"0,000435616465599213","0,000028558483895303","0,0000259187499793244","0,0000717410558170933"
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost,0,"0,000107114766792917",0,0
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost_working,0,0,0,0
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost_idle,0,0,0,0
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cycles,30391,1,0,4132
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,good_cycles,30391,2391,138,4132
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,bad_cycles,0,0,0,0
2024-03-01T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,average_cycle_time,,0,0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,working_time,0,0,0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,idle_time,0,0,0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,offline_time,0,0,0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption,"0,000419058148274709","0,0000713352405134854","0,0000104208843232471","0,000419058148274709"
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,power,,"0,00021026818856182",0,"0,000583213757370982"
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption_working,"0,000340471623941334","0,000139307447521746","0,0000738046703731901","0,000106484723569645"
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption_idle,"0,0000785865243333753","0,0000229084537398907","0,0000104208843232471","0,0000172494785250665"
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost,0,"0,0000603638631254033",0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost_working,0,0,0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost_idle,0,0,0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cycles,0,0,0,2754
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,good_cycles,0,0,1117,2754
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,bad_cycles,0,0,0,0
2024-03-02T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,average_cycle_time,,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,working_time,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,idle_time,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,offline_time,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,power,,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption_working,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,consumption_idle,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost_working,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cost_idle,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,cycles,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,good_cycles,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,bad_cycles,0,0,0,0
2024-03-03T00:00:00Z,ast-o8xtn5xa8y87,Riveting Machine,average_cycle_time,,0,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,working_time,0,0,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,idle_time,0,0,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,offline_time,0,0,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption,"0,0445295352916335","0,00156470150678516",0,"0,0445295352916335"
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,power,,"0,00156364378326562","0,000541928018689181",0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption_working,"0,0318479324773408","0,00129898530006916",0,"0,013832488205766"
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption_idle,"0,0126816028142927","0,00321765301578071","0,000187236276610411","0,0143259701425945"
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cost,0,"0,00307788464672945",0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cost_working,0,0,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cost_idle,0,0,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cycles,9126,1,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,good_cycles,9126,669,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,bad_cycles,0,0,0,0
2024-03-01T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,average_cycle_time,,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,working_time,0,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,idle_time,0,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,offline_time,0,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption,"0,00154291659393489","0,000301915411515723",0,"0,00252979871657554"
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,power,,"0,00106831765689305","0,000450193802574357","0,0275057922174058"
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption_working,"0,000244343222099444","0,0000478248370093894",0,"0,000241340868687836"
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption_idle,"0,00129857337183545",0,0,"0,00252979871657554"
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cost,0,"0,00029983865918446",0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cost_working,0,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cost_idle,0,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,cycles,2,1,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,good_cycles,2,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,bad_cycles,0,0,0,0
2024-03-02T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,average_cycle_time,,0,0,0
2024-03-03T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,working_time,0,0,0,0
2024-03-03T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,idle_time,0,0,0,0
2024-03-03T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,offline_time,0,0,0,0
2024-03-03T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption,0,0,0,0
2024-03-03T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,power,,0,0,0
2024-03-03T00:00:00Z,ast-ha448od5d6bd,Medium Capacity Cutting Machine 1,consumption_working,0,0,0,0
